Etal Twitochu

Coxara Triachdar

Rapadi Iatho

Clyssios Iscer

Enartle Headuzard

Issetia Ardkel

Risortle Und'athi

Imamon Eldan

Elmychu Polyrtle

Turuchu Ormcha

Sudios Whaurios

Enas Skullezard

Denumiss Fingerumon

Grumbleechu Ingis

Uskem Rodor

Achpol Empon

Bumpechu Unturtle

Untachu Elmny

Sules Ghayrtle

Loafechu Twitechu

Boneuchu Smedios

Grumbleozard Nonir

Iss'as Wimpamon

Twitochu Schudan

Yvesu Rakirtle

Clotomon Helem

Ememi Bumizard

Estutia Airertle

Ageashy Mosimon

Worymon Delachtai
Grumbleychu Ormuv

Awomon Chalios

Wipeumon Inaig

Isemon Rilietia

Urnyl Iaozard

Seros Untachu

Angrough Pinachu

Undatia Atuas

Shydan Sloesstai

Kinortle Enichu

Quonbrod Hineos

Sudios Esturtle

Twitozard Untyos

Letios Thimbleomon

Enthgareld Phidarskel

Vesimon Engeos

Enirtle Kuihios

Rilychu Liraos

Nyotia Nyseny

Laph Cerytia

Sereetia Celd
